ID,Query,Category,Entities,Seen,Notes
20,fernseher 65 zoll angebot,Fernseher,"{""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
21,fernseher 65 zoll samsung 4k,Fernseher,"{""marke"":[""Samsung""],""aufloesung"":[""Ultra-HD-4K""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
22,fernseher 65 zoll samsung angebot,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
23,fernseher 65 zoll samsung,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
24,fernseher 65 zoll samsung 4k,Fernseher,"{""marke"":[""Samsung""],""aufloesung"":[""Ultra-HD-4K""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
25,fernseher 65 zoll samsung angebot,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
26,fernseher 65 zoll samsung angebot 4k,Fernseher,"{""marke"":[""Samsung""],""aufloesung"":[""Ultra-HD ""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
27,fernseher 65 zoll samsung curved,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
28,fernseher 65 zoll samsung oled,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytechnologie"":[""OLED""]}",false,
29,fernseher 65 zoll samsung 8k,Fernseher,"{""marke"":[""Samsung""],""aufloesung"":[""Ultra-HD-8K""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
30,fernseher 65 zoll samsung smart,Fernseher,"{""marke"":[""Samsung""],""ausstattung"":[""Smart-TV""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
31,fernseher 65 zoll samsung qled,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytechnologie"":[""QLED""]}",false,
32,fernseher 65 zoll samsung silber,Fernseher,"{""farbe"":[""silberfarben""],""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
33,fernseher 65 zoll samsung 2021,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
34,fernseher 65 zoll lg,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
35,fernseher 65 zoll lg oled,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytechnologie"":[""OLED""]}",false,
36,fernseher 65 zoll lg angebot,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
37,fernseher 65 zoll lg 4k,Fernseher,"{""marke"":[""LG""],""aufloesung"":[""Ultra-HD-4K""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
38,fernseher 65 zoll lg qled,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytechnologie"":[""QLED""]}",false,
39,fernseher 65 zoll lg 120 hz,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
40,fernseher 65 zoll lg 4k lg,Fernseher,"{""marke"":[""LG""],""aufloesung"":[""Ultra-HD ""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
41,fernseher 65 zoll lg wandhalterung,Other,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
42,fernseher 65 zoll lg oled evo,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytechnologie"":[""OLED""]}",false,
43,fernseher 65 zoll lg triple tuner,Fernseher,"{""marke"":[""LG""],""tuner"":[""Triple-Tuner""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
44,fernseher 65 zoll lg oled 2021,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytechnologie"":[""OLED""]}",false,
45,fernseher 55 zoll,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
46,fernseher 55 zoll samsung,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
47,fernseher 55 zoll oled,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
48,fernseher 55 zoll philips,Fernseher,"{""marke"":[""Philips""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
49,fernseher 55 zoll angebote,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
50,fernseher 55 zoll sony,Fernseher,"{""marke"":[""Sony""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
51,fernseher 55 zoll lg,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
52,fernseher 55 zoll smart tv,Fernseher,"{""ausstattung"":[""Smart-TV""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
53,fernseher 55 zoll ambilight,Fernseher,"{""ausstattung"":[""Ambilight""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
54,fernseher 55 zoll qled,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""QLED""]}",false,
55,fernseher 55 zoll samsung smart tv,Fernseher,"{""marke"":[""Samsung""],""ausstattung"":[""Smart-TV""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
56,fernseher 55 zoll samsung,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
57,fernseher 55 zoll samsung smart tv,Fernseher,"{""marke"":[""Samsung""],""ausstattung"":[""Smart-TV""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
58,fernseher 55 zoll samsung angebot,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
59,fernseher 55 zoll samsung 4k angebot,Fernseher,"{""marke"":[""Samsung""],""aufloesung"":[""Ultra-HD-4K""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
60,fernseher 55 zoll samsung oled,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
61,fernseher 55 zoll samsung 8k,Fernseher,"{""marke"":[""Samsung""],""aufloesung"":[""Ultra-HD-8K""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
62,fernseher 55 zoll samsung 4k,Fernseher,"{""marke"":[""Samsung""],""aufloesung"":[""Ultra-HD-4K""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
63,fernseher 55 zoll samsung google tv,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,Ungrounded: Google Tv
64,fernseher 55 zoll samsung hz 100,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""55 - 59 Zoll""],""bildwiederholfrequenz"":[""100 Hz""]}",false,
65,fernseher 55 zoll samsung ultra,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
66,fernseher 55 zoll samsung smart tv 4k,Fernseher,"{""marke"":[""Samsung""],""aufloesung"":[""Ultra-HD ""],""ausstattung"":[""Smart-TV""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
67,fernseher 55 zoll oled,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
68,fernseher 55 zoll oled sony,Fernseher,"{""marke"":[""Sony""],""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
69,fernseher 55 zoll oled 120hz,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,Ungrounded: 120HZ
70,fernseher 55 zoll oled lg,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
71,fernseher 55 zoll oled evo,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
72,fernseher 55 zoll oled sale,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,Ungrounded: Sale / Angebot
73,fernseher 55 zoll oled philips,Fernseher,"{""marke"":[""Philips""],""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
74,fernseher 55 zoll oled hisense,Fernseher,"{""marke"":[""Hisense""],""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
75,fernseher 55 zoll oled wandhalter,Other,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
76,fernseher 55 zoll oled samsung,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
77,fernseher 55 zoll oled angebote,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""displaytechnologie"":[""OLED""]}",false,
78,TV,Fernseher,{},false,
79,tv lowboard,Other,{},false,
80,tv schrank,Other,{},false,
81,tv 65 zoll,Fernseher,"{""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
82,tv 55 zoll,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
83,tv board,Other,{},false,
84,tv 75 zoll,Fernseher,"{""bildschirmgroesse"":[""75 - 79 Zoll""]}",false,
85,tv schrank in wohnzimmer,Other,{},false,
86,tv 85 zoll,Fernseher,"{""bildschirmgroesse"":[""gr\\u00f6\\u00dfer als 84 Zoll""]}",false,
87,tv wandhalterung,Fernseher,{},false,
88,tv bank,Other,{},false,
89,tv lowboard,Other,{},false,
90,tv lowboard hängend,Other,{},false,
91,tv lowboard schwarz,Other,{},false,
92,tv lowboard holz,Other,{},false,
93,tv lowboard mit kamin,Other,{},false,
94,tv lowboard weiss,Other,{},false,
95,tv lowboard 200 cm breit,Other,{},false,
96,tv lowboard weiss hochglanz,Other,{},false,
97,tv lowboard 240 cm breit,Other,{},false,
98,tv lowboard beige,Other,{},false,
99,tv lowboard 300cm breit,Other,{},false,
100,tv lowboard hängend,Other,{},false,
101,tv lowboard hängend weiss hochglanz,Other,{},false,
102,tv lowboard hängend schwarz,Other,{},false,
103,tv lowboard hängend holz,Other,{},false,
104,tv lowboard hängend 200,Other,{},false,
105,tv lowboard hängend mit beleuchtung,Other,{},false,
106,tv lowboard hängend eiche,Other,{},false,
107,tv lowboard hängend 120cm,Other,{},false,
108,tv lowboard hängend 200 schwarz,Other,{},false,
109,tv lowboard hängend 240,Other,{},false,
110,tv lowboard hängend 280cm,Other,{},false,
111,tv lowboard schwarz,Other,{},false,
112,tv lowboard schwarz hochglanz,Other,{},false,
113,tv lowboard schwarz gold,Other,{},false,
114,tv lowboard schwarz matt,Other,{},false,
115,tv lowboard schwarz 200 cm,Other,{},false,
116,tv lowboard schwarz holz,Other,{},false,
117,tv lowboard schwarz weiss,Other,{},false,
118,tv lowboard schwarz matt 180,Other,{},false,
119,tv lowboard schwarz matt eiche,Other,{},false,
120,tv lowboard schwarz weiß,Other,{},false,
121,tv lowboard schwarz otto,Other,{},false,
122,tv schrank,Other,{},false,
123,tv schrank in wohnzimmer,Other,{},false,
124,tv schrank mit kamin,Other,{},false,
125,tv schrank schwarz,Other,{},false,
126,tv schrank weiß,Other,{},false,
127,tv schrank hängend,Other,{},false,
128,tv schrank 200 cm breit,Other,{},false,
129,tv schrank holz,Other,{},false,
130,tv schrank set,Other,{},false,
131,tv schrank 180cm breit,Other,{},false,
132,tv schrank mit led,Other,{},false,
133,tv schrank in wohnzimmer,Other,{},false,
134,tv schrank in wohnzimmer 240 cm,Other,{},false,
135,tv schrank in wohnzimmer 220 cm,Other,{},false,
136,tv schrank in wohnzimmer mit kamin,Other,{},false,
137,tv schrank in wohnzimmer weiß,Other,{},false,
138,tv schrank in wohnzimmer set modern,Other,{},false,
139,tv schrank in wohnzimmer hängend,Other,{},false,
140,tv schrank in wohnzimmer holz,Other,{},false,
141,tv schrank in wohnzimmer schwarz,Other,{},false,
142,tv schrank in wohnzimmer hochglanz,Other,{},false,
143,tv schrank in wohnzimmer 200cm breit,Other,{},false,
144,tv schrank mit kamin,Other,{},false,
145,tv schrank mit kamin mit led,Other,{},false,
146,tv schrank mit kamin 200cm,Other,{},false,
147,tv schrank mit kamin holz schwarz,Other,{},false,
148,tv schrank mit kamin holz,Other,{},false,
149,tv schrank mit kamin led,Other,{},false,
150,tv schrank mit kamin schwarz,Other,{},false,
151,tv schrank mit kamin angebot,Other,{},false,
152,tv schrank mit kamin,Other,{},false,
153,tv schrank in wohnzimmer mit kamin,Other,{},false,
154,tv kommode mit kamin,Other,{},false,
155,Laptop,Laptops,{},false,
156,laptop 17 zoll,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
157,laptop 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
158,laptop gaming,Laptops,"{""zubehoerfuer"":[""Gaming""]}",false,
159,laptop apple,Laptops,"{""marke"":[""Apple""]}",false,
160,laptop hp,Laptops,"{""marke"":[""HP""]}",false,
161,laptop mit cd laufwerk integriert,Laptops,{},false,Ungrounded: CD Laufwerk
162,laptop samsung,Laptops,"{""marke"":[""Samsung""]}",false,
163,laptop tasche,Other,{},false,
164,laptop lenovo,Laptops,"{""marke"":[""Lenovo""]}",false,
165,laptop asus,Laptops,"{""marke"":[""Asus""]}",false,
166,laptop 17 zoll,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
167,laptop 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
168,laptop 17 zoll windows 11 vorinstalliert,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
169,laptop 17 zoll mit laufwerk,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
170,laptop 17 zoll gaming,Laptops,"{""zubehoerfuer"":[""Gaming""],""bildschirmgroesse"":[""17 Zoll""]}",false,
171,laptop 17 zoll i7 angebote,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
172,laptop 17 zoll apple,Laptops,"{""marke"":[""Apple""],""bildschirmgroesse"":[""17 Zoll""]}",false,
173,laptop 17 zoll hp,Laptops,"{""marke"":[""HP""],""bildschirmgroesse"":[""17 Zoll""]}",false,
174,laptop 17 zoll beleuchtete tastatur,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
175,laptop 17 zoll core i7,Laptops,"{""prozessor"":[""Intel Core i7""],""bildschirmgroesse"":[""17 Zoll""]}",false,
176,laptop 17 zoll tasche,Other,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
177,laptop 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
178,laptop 17 zoll windows 11 vorinstalliert,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
179,laptop 17 zoll windows 11 intel core i3,Laptops,"{""prozessor"":[""Intel Core i3""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
180,laptop 17 zoll windows 11 vorinstalliert microsoft,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
181,laptop 17 zoll windows 11 lenovo,Laptops,"{""marke"":[""Lenovo""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
182,laptop 17 zoll windows 11 i7,Laptops,"{""prozessor"":[""Intel Core i7""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
183,laptop 17 zoll windows 11 asus,Laptops,"{""marke"":[""Asus""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
184,laptop 17 zoll windows 11 ssd 16 gb,Laptops,"{""ausstattung"":[""SSD-Festplatte""],""betriebssystem"":[""Windows""],""arbeitsspeicher"":[""16 GB""],""bildschirmgroesse"":[""17 Zoll""]}",false,
185,laptop 17 zoll windows 11 mit lan anschluss,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,Ungrounded: Lan Anschluss
186,laptop 17 zoll windows 11 i3,Laptops,"{""prozessor"":[""Intel Core i3""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
187,laptop 17 zoll windows 11 vorinstalliert 1 tb,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""],""speicherkapazitaet"":[""1 TB""]}",false,
188,laptop 17 zoll windows 11 vorinstalliert,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
189,laptop 17 zoll windows 11 vorinstalliert microsoft,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
190,laptop 17 zoll windows 11 vorinstalliert 1 tb,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""],""speicherkapazitaet"":[""1 TB""]}",false,
191,laptop 17 zoll windows 11 vorinstalliert office 2021,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
192,laptop 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
193,laptop 17 zoll windows 11 vorinstalliert,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
194,laptop 15 zoll angebote windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
195,notebook 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
196,laptop windows 11 vorinstalliert,Laptops,"{""betriebssystem"":[""Windows""]}",false,
197,lenovo laptop 17 zoll windows 11 vorinstalliert,Laptops,"{""marke"":[""Lenovo""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
198,laptop 15 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
199,laptop 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
200,laptop 15 zoll angebote windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
201,laptop 15 zoll i5,Laptops,"{""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""15 Zoll""]}",false,
202,laptop 15 zoll hp,Laptops,"{""marke"":[""HP""],""bildschirmgroesse"":[""15 Zoll""]}",false,
203,laptop 15 zoll mit laufwerk,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,Ungrounded: Laufwerk
204,laptop 15 zoll gaming,Laptops,"{""zubehoerfuer"":[""Gaming""],""bildschirmgroesse"":[""15 Zoll""]}",false,
205,laptop 15 zoll lenovo,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""15 Zoll""]}",false,
206,laptop 15 zoll i7,Laptops,"{""prozessor"":[""Intel Core i7""],""bildschirmgroesse"":[""15 Zoll""]}",false,
207,laptop 15 zoll 16gb ram,Laptops,"{""arbeitsspeicher"":[""16 GB""],""bildschirmgroesse"":[""15 Zoll""]}",false,
208,laptop 15 zoll acer,Laptops,"{""marke"":[""Acer""],""bildschirmgroesse"":[""15 Zoll""]}",false,
209,laptop 15 zoll apple,Laptops,"{""marke"":[""Apple""],""bildschirmgroesse"":[""15 Zoll""]}",false,
210,laptop 15 zoll angebote windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
211,laptop 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
212,laptop 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
213,laptop 15 zoll angebote windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
214,laptop 14 zoll windows 11 angebot,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""14 Zoll""]}",false,
215,notebook 15 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
216,laptop 15 zoll hp,Laptops,"{""marke"":[""HP""],""bildschirmgroesse"":[""15 Zoll""]}",false,
217,laptop 14 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""14 Zoll""]}",false,
218,laptop 13 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""13 Zoll""]}",false,
219,laptop 19 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""gr\\u00f6\\u00dfer als 19 Zoll""]}",false,
220,laptop 15 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
221,laptop 15 zoll i5,Laptops,"{""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""15 Zoll""]}",false,
222,laptop 15 zoll i5 1000 gb,Laptops,"{""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""15 Zoll""],""speicherkapazitaet"":[""1 TB""]}",false,
223,laptop 15 zoll i5 16 gb,Laptops,"{""prozessor"":[""Intel Core i5""],""arbeitsspeicher"":[""16 GB""],""bildschirmgroesse"":[""15 Zoll""]}",false,
224,laptop 15 zoll i5 16 gb ram,Laptops,"{""prozessor"":[""Intel Core i5""],""arbeitsspeicher"":[""16 GB""],""bildschirmgroesse"":[""15 Zoll""]}",false,
225,laptop 15 zoll i5 blau,Laptops,"{""farbe"":[""blau""],""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""15 Zoll""]}",false,
226,laptop 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
227,laptop 15 zoll i5,Laptops,"{""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""15 Zoll""]}",false,
228,laptop 15 zoll i7,Laptops,"{""prozessor"":[""Intel Core i7""],""bildschirmgroesse"":[""15 Zoll""]}",false,
229,laptop 17 zoll i5,Laptops,"{""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""17 Zoll""]}",false,
230,laptop 17 zoll core i5,Laptops,"{""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""17 Zoll""]}",false,
231,laptop 15 zoll hp i5,Laptops,"{""marke"":[""HP""],""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""15 Zoll""]}",false,
232,Macbook,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook""]}",false,
233,macbook pro,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""]}",false,
234,macbook air m2,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""]}",false,
235,macbook air,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Air""]}",false,
236,macbook pro m3,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3""],""modellreihe"":[""MacBook Pro""]}",false,
237,macbook air m1,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M1""],""modellreihe"":[""MacBook Air""]}",false,
238,macbook pro m2,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""]}",false,
239,macbook air 15 zoll,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
240,macbook pro 16,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""16 Zoll""]}",false,
241,macbook pro 14,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
242,macbook pro m1,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M1""],""modellreihe"":[""MacBook Pro""]}",false,
243,macbook pro,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""]}",false,
244,macbook pro m3,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3""],""modellreihe"":[""MacBook Pro""]}",false,
245,macbook pro m2,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""]}",false,
246,macbook pro 16,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""16 Zoll""]}",false,
247,macbook pro 14,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
248,macbook pro m1,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M1""],""modellreihe"":[""MacBook Pro""]}",false,
249,macbook pro m3 max,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Max""],""modellreihe"":[""MacBook Pro""]}",false,
250,macbook pro 13,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""13 Zoll""]}",false,
251,macbook pro 16 zoll,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""16 Zoll""]}",false,
252,macbook pro m2 pro,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2 Pro""],""modellreihe"":[""MacBook Pro""]}",false,
